Entities,Counts,Appearance_Percent,Popularity,Normalized Score,Popularity_Growth
PEEKABOO,3,7.69,23.07,0.002717279892552929,0.00272
Taurus,3,7.69,23.07,0.002717279892552929,0.00272
Panic!,3,7.69,23.07,0.002717279892552929,0.00272
Nipsey Hussle’s,3,7.69,23.07,0.002717279892552929,0.00272
Ludwig Göransson,3,7.69,23.07,0.002717279892552929,0.00272
Titan,3,7.69,23.07,0.002717279892552929,0.00272
Kash Doll,3,7.69,23.07,0.002717279892552929,0.00272
The Raconteurs,3,7.69,23.07,0.002717279892552929,0.00272
Yousef,3,7.69,23.07,0.002717279892552929,0.00272
Ariana’s,3,7.69,23.07,0.002717279892552929,0.00272
Dua Lipa,3,7.69,23.07,0.002717279892552929,0.00272
The Lumineers,3,7.69,23.07,0.002717279892552929,0.00272
“The Who,3,7.69,23.07,0.002717279892552929,0.00272
Bleached,3,7.69,23.07,0.002717279892552929,0.00272
Sofi Tukker,3,7.69,23.07,0.002717279892552929,0.00272
Connect,3,7.69,23.07,0.002717279892552929,0.00272
Flosstradamus,5,7.69,38.45,0.004891669317499029,0.00257
Robyn’s,5,7.69,38.45,0.004891669317499029,0.00257
Nastia,5,7.69,38.45,0.004891669317499029,0.00257
DJ Koze,7,11.54,80.78,0.01087618845650868,0.00238
Dev Hynes,4,7.69,30.76,0.003804474605025978,0.00226
Smokey Robinson,4,7.69,30.76,0.003804474605025978,0.00226
Becky’s,5,3.85,19.25,0.002177216979464885,0.00218
Ame,5,3.85,19.25,0.002177216979464885,0.00218
Buttigieg’s,5,3.85,19.25,0.002177216979464885,0.00218
LAPD,5,3.85,19.25,0.002177216979464885,0.00218
Jack White’s,5,3.85,19.25,0.002177216979464885,0.00218
King’s Mouth,5,3.85,19.25,0.002177216979464885,0.00218
Stormzy’s,5,3.85,19.25,0.002177216979464885,0.00218
We Need,5,3.85,19.25,0.002177216979464885,0.00218
MDMA,5,3.85,19.25,0.002177216979464885,0.00218
Marcelle,5,3.85,19.25,0.002177216979464885,0.00218
Adidas,5,3.85,19.25,0.002177216979464885,0.00218
Tomorrow,8,15.38,123.04,0.01685081115470258,0.00218
Expect,8,15.38,123.04,0.01685081115470258,0.00218
Crow,5,3.85,19.25,0.002177216979464885,0.00218
Joey Flechas,5,3.85,19.25,0.002177216979464885,0.00218
Yorke’s,5,3.85,19.25,0.002177216979464885,0.00218
Health,5,3.85,19.25,0.002177216979464885,0.00218
Midwest,4,11.54,46.16,0.0059816915844908645,0.00212
RÜFÜS DU SOL,6,7.69,46.14,0.005978864029972078,0.00212
Ariel Rechtshaid,4,11.54,46.16,0.0059816915844908645,0.00212
Q,6,7.69,46.14,0.005978864029972078,0.00212
Subtronics,4,11.54,46.16,0.0059816915844908645,0.00212
Champagne Drip,3,11.54,34.62,0.004350192627151592,0.00204
Lots,3,11.54,34.62,0.004350192627151592,0.00203
Details,3,11.54,34.62,0.004350192627151592,0.00203
Party,3,11.54,34.62,0.004350192627151592,0.00203
Cate Le Bon,3,7.69,23.07,0.002717279892552929,0.00195
EPIC,3,7.69,23.07,0.002717279892552929,0.00195
Death Grips,3,7.69,23.07,0.002717279892552929,0.00195
Rammstein,6,3.85,23.1,0.002721521224331107,0.00195
– Berlin,6,3.85,23.1,0.002721521224331107,0.00195
Auerbach,3,7.69,23.07,0.002717279892552929,0.00195
Savage,3,7.69,23.07,0.002717279892552929,0.00195
Kayzo,12,7.69,92.28,0.01250203230481038,0.00169
Christine,7,7.69,53.83000000000001,0.00706605874244513,0.00166
Keinemusik,2,7.69,15.38,0.0016300851800798786,0.00163
Sidney Charles,2,7.69,15.38,0.0016300851800798786,0.00163
Jazzy Jeff,2,7.69,15.38,0.0016300851800798786,0.00163
Switch,2,7.69,15.38,0.0016300851800798786,0.00163
Ibiza’s,2,7.69,15.38,0.0016300851800798786,0.00163
Dillon’s,2,7.69,15.38,0.0016300851800798786,0.00163
Woodstock 50’s,2,7.69,15.38,0.0016300851800798786,0.00163
Superman,2,7.69,15.38,0.0016300851800798786,0.00163
The Distillers,2,7.69,15.38,0.0016300851800798786,0.00163
Doom,2,7.69,15.38,0.0016300851800798786,0.00163
Anna Lunoe,2,7.69,15.38,0.0016300851800798786,0.00163
Eartheater,2,7.69,15.38,0.0016300851800798786,0.00163
Desert Dwellers,2,7.69,15.38,0.0016300851800798786,0.00163
What’s,2,7.69,15.38,0.0016300851800798786,0.00163
Bleached’s,2,7.69,15.38,0.0016300851800798786,0.00163
Adam Scott,2,7.69,15.38,0.0016300851800798786,0.00163
Blonde Redhead,2,7.69,15.38,0.0016300851800798786,0.00163
Directed,2,7.69,15.38,0.0016300851800798786,0.00163
Lucy,2,7.69,15.38,0.0016300851800798786,0.00163
Hot Snakes,2,7.69,15.38,0.0016300851800798786,0.00163
Little Dragon,2,7.69,15.38,0.0016300851800798786,0.00163
Andrea,2,7.69,15.38,0.0016300851800798786,0.00163
Jon Rundell,2,7.69,15.38,0.0016300851800798786,0.00163
Greer,2,7.69,15.38,0.0016300851800798786,0.00163
Venice,2,7.69,15.38,0.0016300851800798786,0.00163
Miami Commissioners,2,7.69,15.38,0.0016300851800798786,0.00163
Lana Del Rey,2,7.69,15.38,0.0016300851800798786,0.00163
MAST,2,7.69,15.38,0.0016300851800798786,0.00163
Christ,2,7.69,15.38,0.0016300851800798786,0.00163
Neil Jacobson,2,7.69,15.38,0.0016300851800798786,0.00163
Everyone’s,2,7.69,15.38,0.0016300851800798786,0.00163
The Loft,2,7.69,15.38,0.0016300851800798786,0.00163
The Wilco,2,7.69,15.38,0.0016300851800798786,0.00163
Endgame,2,7.69,15.38,0.0016300851800798786,0.00163
Marc Kinchen,2,7.69,15.38,0.0016300851800798786,0.00163
Pinch,2,7.69,15.38,0.0016300851800798786,0.00163
Major Laser,2,7.69,15.38,0.0016300851800798786,0.00163
Carlo Lio,2,7.69,15.38,0.0016300851800798786,0.00163
DJ Craze,2,7.69,15.38,0.0016300851800798786,0.00163
Walshy Fire,2,7.69,15.38,0.0016300851800798786,0.00163
Damien Jurado,2,7.69,15.38,0.0016300851800798786,0.00163
Pabllo Vittar,2,7.69,15.38,0.0016300851800798786,0.00163
Technimatic,2,7.69,15.38,0.0016300851800798786,0.00163
Beach Boys,2,7.69,15.38,0.0016300851800798786,0.00163
’m Nothing,2,7.69,15.38,0.0016300851800798786,0.00163
